# Oklahoma 2025 Income Tax Table (Form 511 packet, pages 27-38): taxable income at least (inclusive), less than (exclusive), tax for Single or Married Filing Separate, and for Married Filing Joint or Head of Household (and Qualifying Surviving Spouse).
# Source: https://oklahoma.gov/content/dam/ok/en/tax/documents/forms/individuals/current/511-Pkt.pdf, extracted with pdftotext.
0	50	0	0
50	100	0	0
100	150	0	0
150	200	0	0
200	250	1	1
250	300	1	1
300	350	1	1
350	400	1	1
400	450	1	1
450	500	1	1
500	550	1	1
550	600	1	1
600	650	2	2
650	700	2	2
700	750	2	2
750	800	2	2
800	850	2	2
850	900	2	2
900	950	2	2
950	1000	2	2
1000	1050	3	3
1050	1100	3	3
1100	1150	3	3
1150	1200	4	3
1200	1250	4	3
1250	1300	5	3
1300	1350	5	3
1350	1400	5	3
1400	1450	6	4
1450	1500	6	4
1500	1550	6	4
1550	1600	7	4
1600	1650	7	4
1650	1700	8	4
1700	1750	8	4
1750	1800	8	4
1800	1850	9	5
1850	1900	9	5
1900	1950	9	5
1950	2000	10	5
2000	2050	10	5
2050	2100	11	6
2100	2150	11	6
2150	2200	11	6
2200	2250	12	7
2250	2300	12	7
2300	2350	12	7
2350	2400	13	8
2400	2450	13	8
2450	2500	14	9
2500	2550	14	9
2550	2600	15	9
2600	2650	16	10
2650	2700	17	10
2700	2750	18	10
2750	2800	19	11
2800	2850	19	11
2850	2900	20	12
2900	2950	21	12
2950	3000	22	12
3000	3050	23	13
3050	3100	24	13
3100	3150	25	13
3150	3200	26	14
3200	3250	26	14
3250	3300	27	15
3300	3350	28	15
3350	3400	29	15
3400	3450	30	16
3450	3500	31	16
3500	3550	32	16
3550	3600	33	17
3600	3650	33	17
3650	3700	34	18
3700	3750	35	18
3750	3800	36	18
3800	3850	38	19
3850	3900	39	19
3900	3950	40	19
3950	4000	42	20
4000	4050	43	20
4050	4100	45	21
4100	4150	46	21
4150	4200	47	21
4200	4250	49	22
4250	4300	50	22
4300	4350	51	22
4350	4400	53	23
4400	4450	54	23
4450	4500	56	24
4500	4550	57	24
4550	4600	58	24
4600	4650	60	25
4650	4700	61	25
4700	4750	62	25
4750	4800	64	26
4800	4850	65	26
4850	4900	67	27
4900	4950	68	27
4950	5000	70	27
5000	5050	72	28
5050	5100	74	29
5100	5150	76	30
5150	5200	78	31
5200	5250	79	31
5250	5300	81	32
